review_time_s,available_time_s,available_time_h,success,reviewed_assets,accepted_assets
10,103335,28,0.01,10333,103
10,88587,24,0.01,8858,88
10,51235,14,0.01,5123,51
10,104488,29,0.01,10448,104
10,62437,17,0.01,6243,62
10,2545,0,0.01,254,2
10,276312,76,0.01,27631,276
10,136885,38,0.01,13688,136
10,49258,13,0.01,4925,49
10,32133,8,0.01,3213,32
10,142539,39,0.01,14253,142
10,94818,26,0.01,9481,94
10,50231,13,0.01,5023,50
10,78474,21,0.01,7847,78
10,60479,16,0.01,6047,60
10,72886,20,0.01,7288,72
10,40399,11,0.01,4039,40
10,135745,37,0.01,13574,135
10,82678,22,0.01,8267,82
10,91942,25,0.01,9194,91
10,94668,26,0.01,9466,94
10,220381,61,0.01,22038,220
10,98534,27,0.01,9853,98
10,129034,35,0.01,12903,129
10,123841,34,0.01,12384,123
10,103664,28,0.01,10366,103
10,31296,8,0.01,3129,31
10,32380,8,0.01,3238,32
10,68353,18,0.01,6835,68
10,79003,21,0.01,7900,79
10,23105,6,0.01,2310,23
10,108471,30,0.01,10847,108
10,99062,27,0.01,9906,99
10,76606,21,0.01,7660,76
10,91768,25,0.01,9176,91
10,35524,9,0.01,3552,35
10,64557,17,0.01,6455,64
10,121253,33,0.01,12125,121
10,32664,9,0.01,3266,32
10,138773,38,0.01,13877,138
10,19917,5,0.01,1991,19
10,83763,23,0.01,8376,83
10,951002,264,0.01,95100,951
10,39714,11,0.01,3971,39
10,96195,26,0.01,9619,96
10,40968,11,0.01,4096,40
10,122350,33,0.01,12235,122
10,81291,22,0.01,8129,81
10,48057,13,0.01,4805,48
10,116849,32,0.01,11684,116
10,103661,28,0.01,10366,103
10,64762,17,0.01,6476,64
10,109320,30,0.01,10932,109
10,65067,18,0.01,6506,65
10,425269,118,0.01,42526,425
10,340289,94,0.01,34028,340
10,31200,8,0.01,3120,31
10,237387,65,0.01,23738,237
10,134599,37,0.01,13459,134
10,89675,24,0.01,8967,89
10,54305,15,0.01,5430,54
10,27239,7,0.01,2723,27
10,56277,15,0.01,5627,56
10,29344,8,0.01,2934,29
10,22552,6,0.01,2255,22
10,39822,11,0.01,3982,39
10,13860,3,0.01,1386,13
10,141539,39,0.01,14153,141
10,78289,21,0.01,7828,78
10,78042,21,0.01,7804,78
10,46873,13,0.01,4687,46
10,109765,30,0.01,10976,109
10,110856,30,0.01,11085,110
10,31921,8,0.01,3192,31
10,436145,121,0.01,43614,436
10,112012,31,0.01,11201,112
10,71388,19,0.01,7138,71
10,134286,37,0.01,13428,134
10,10179,2,0.01,1017,10
10,142878,39,0.01,14287,142
10,97687,27,0.01,9768,97
10,45931,12,0.01,4593,45
10,79447,22,0.01,7944,79
10,112558,31,0.01,11255,112
10,130407,36,0.01,13040,130
10,15445,4,0.01,1544,15
10,87660,24,0.01,8766,87
10,65072,18,0.01,6507,65
10,47579,13,0.01,4757,47
10,140285,38,0.01,14028,140
10,53528,14,0.01,5352,53
10,127856,35,0.01,12785,127
10,142298,39,0.01,14229,142
10,116665,32,0.01,11666,116
10,138862,38,0.01,13886,138
10,19165,5,0.01,1916,19
10,52327,14,0.01,5232,52
10,45526,12,0.01,4552,45
10,61793,17,0.01,6179,61
10,70478,19,0.01,7047,70
10,35629,9,0.01,3562,35
10,140289,38,0.01,14028,140
10,98724,27,0.01,9872,98
10,86206,23,0.01,8620,86
10,124649,34,0.01,12464,124
10,42046,11,0.01,4204,42
10,36685,10,0.01,3668,36
10,99447,27,0.01,9944,99
10,119434,33,0.01,11943,119
10,55229,15,0.01,5522,55
10,115469,32,0.01,11546,115
10,14394,3,0.01,1439,14
10,74586,20,0.01,7458,74
10,23799,6,0.01,2379,23
10,111553,30,0.01,11155,111
10,104335,28,0.01,10433,104
10,35511,9,0.01,3551,35
10,64504,17,0.01,6450,64
10,80537,22,0.01,8053,80
10,57409,15,0.01,5740,57
10,103484,28,0.01,10348,103
10,81937,22,0.01,8193,81
10,143095,39,0.01,14309,143
10,119277,33,0.01,11927,119
10,133604,37,0.01,13360,133
10,28682,7,0.01,2868,28
10,625535,173,0.01,62553,625
10,71381,19,0.01,7138,71
10,61878,17,0.01,6187,61
10,348567,96,0.01,34856,348
10,22050,6,0.01,2205,22
10,32096,8,0.01,3209,32
10,34781,9,0.01,3478,34
10,173051,48,0.01,17305,173
10,49011,13,0.01,4901,49
10,125519,34,0.01,12551,125
10,25642,7,0.01,2564,25
10,18251,5,0.01,1825,18
10,13192,3,0.01,1319,13
10,37496,10,0.01,3749,37
10,74502,20,0.01,7450,74
10,136487,37,0.01,13648,136
10,77419,21,0.01,7741,77
10,62179,17,0.01,6217,62
10,68073,18,0.01,6807,68
10,119132,33,0.01,11913,119
10,119120,33,0.01,11912,119
10,120249,33,0.01,12024,120
10,16356,4,0.01,1635,16
10,48899,13,0.01,4889,48
10,42657,11,0.01,4265,42
10,54039,15,0.01,5403,54
10,47575,13,0.01,4757,47
10,5764,1,0.01,576,5
10,33625,9,0.01,3362,33
10,77377,21,0.01,7737,77
10,28239,7,0.01,2823,28
10,27688,7,0.01,2768,27
10,957289,265,0.01,95728,957
10,93334,25,0.01,9333,93
10,30560,8,0.01,3056,30
10,79865,22,0.01,7986,79
10,35068,9,0.01,3506,35
10,75542,20,0.01,7554,75
10,91310,25,0.01,9131,91
10,118596,32,0.01,11859,118
10,713278,198,0.01,71327,713
10,108546,30,0.01,10854,108
10,96666,26,0.01,9666,96
10,238829,66,0.01,23882,238
10,98767,27,0.01,9876,98
10,593622,164,0.01,59362,593
10,30391,8,0.01,3039,30
10,20132,5,0.01,2013,20
10,29006,8,0.01,2900,29
10,16556,4,0.01,1655,16
10,72276,20,0.01,7227,72
10,15699,4,0.01,1569,15
10,33789,9,0.01,3378,33
10,73375,20,0.01,7337,73
10,95506,26,0.01,9550,95
10,107705,29,0.01,10770,107
10,105460,29,0.01,10546,105
10,69365,19,0.01,6936,69
10,15308,4,0.01,1530,15
10,83300,23,0.01,8330,83
10,13680,3,0.01,1368,13
10,49640,13,0.01,4964,49
10,31769,8,0.01,3176,31
10,105552,29,0.01,10555,105
10,81566,22,0.01,8156,81
10,67642,18,0.01,6764,67
10,170328,47,0.01,17032,170
10,88396,24,0.01,8839,88
10,123665,34,0.01,12366,123
10,910566,252,0.01,91056,910
10,40028,11,0.01,4002,40
10,17406,4,0.01,1740,17
10,61285,17,0.01,6128,61
10,71822,19,0.01,7182,71
10,127015,35,0.01,12701,127
10,127688,35,0.01,12768,127
10,33083,9,0.01,3308,33
10,32511,9,0.01,3251,32
10,128017,35,0.01,12801,128
10,1787,0,0.01,178,1
10,139209,38,0.01,13920,139
10,123252,34,0.01,12325,123
10,84000,23,0.01,8400,84
10,60089,16,0.01,6008,60
10,67746,18,0.01,6774,67
10,116921,32,0.01,11692,116
10,106742,29,0.01,10674,106
10,187391,52,0.01,18739,187
10,41987,11,0.01,4198,41
10,201362,55,0.01,20136,201
10,118999,33,0.01,11899,118
10,72318,20,0.01,7231,72
10,662476,184,0.01,66247,662
10,111534,30,0.01,11153,111
10,82142,22,0.01,8214,82
10,108285,30,0.01,10828,108
10,114889,31,0.01,11488,114
10,93300,25,0.01,9330,93
10,43462,12,0.01,4346,43
10,91336,25,0.01,9133,91
10,92354,25,0.01,9235,92
